"dpt","name","mapping","mapping-de"
"20.102","DPT_HVACMode","Auto;Comfort;Standby;Economy;Building protection","Auto;Comfort;Standby;Economy;Building protection"
"20.103","DPT_DHWMode",,
"20.104","DPT_LoadPriority",,
"20.105","DPT_HVACContrMode",,
"20.106","DPT_HVACEmergMode",,
"20.107","DPT_ChangeoverMode",,
"20.108","DPT_ValveMode",,
"20.109","DPT_DamperMode",,
"20.110","DPT_HeaterMode",,
"20.111","DPT_FanMode",,
"20.112","DPT_MasterSlaveMode",,
"20.113","DPT_StatusRoomSetp",,
"20.600","DPT_Behaviour_Lock_Unlock",,
"20.601","DPT_Behaviour_Bus_Power_Up_Down",,
"20.1000","DPT_CommMode",,
"20.1001","DPT_AddInfoTypes",,
"20.1002","DPT_RF_ModeSelect",,
"20.1003","DPT_RF_FilterSelect",,
"21.001","DPT_StatusGen",,
"21.002","DPT_Device_Control",,
"21.100","DPT_ForceSign",,
"21.101","DPT_ForceSignCool",,
"21.102","DPT_StatusRHC",,
"21.103","DPT_StatusSDHWC",,
"21.104","DPT_FuelTypeSet",,
"21.105","DPT_StatusRCC",,
"21.106","DPT_StatusAHU",,
"21.1000","DPT_RF_ModeInfo",,
"21.1001","DPT_RF_FilterInfo",,
"21.1010","DPT_Channel_Activation_8",,
"22.100","DPT_StatusDHWC",,
"22.101","DPT_StatusRHCC",,
"22.1000","DPT_Media",,
"22.1010","DPT_Channel_Activation_16",,
"23.001","DPT_OnOff_Action",,
"23.002","DPT_Alarm_Reaction",,
"23.003","DPT_UpDown_Action",,
"23.102","DPT_HVAC_PB_Action",,
"24.001","DPT_VarString_8859_1",,
"25.1000","DPT_DoubleNibble",,
"26.001","DPT_SceneInfo",,
"27.001","DPT_CombinedInfoOnOff",,
"28.001","DPT_UTF-8",,
"29.010","DPT_ActiveEnergy_V64",,
"29.011","DPT_ApparantEnergy_V64",,
"29.012","DPT_ReactiveEnergy_V64",,
"30.1010","DPT_Channel_Activation_24",,
"31.101","DPT_PB_Action_HVAC_Extended",,
"200.100","DPT_Heat/Cool_Z",,
"200.101","DPT_BinaryValue_Z",,
"201.100","DPT_HVACMode_Z",,
"201.102","DPT_DHWMode_Z",,
"201.104","DPT_HVACContrMode_Z",,
"201.105","DPT_EnablH/Cstage_Z",,
"201.107","DPT_BuildingMode_Z",,
"201.108","DPT_OccMode_Z",,
"201.109","DPT_HVACEmergMode_Z",,
"202.001","DPT_RelValue_Z",,
"202.002","DPT_UCountValue8_Z",,
"203.002","DPT_TimePeriodMsec_Z",,
"203.003","DPT_TimePeriod10Msec_Z",,
"203.004","DPT_TimePeriod100Msec_Z",,
"203.005","DPT_TimePeriodSec_Z",,
"203.006","DPT_TimePeriodMin_Z",,
"203.007","DPT_TimePeriodHrs_Z",,
"203.011","DPT_UFlowRateLiter/h_Z",,
"203.012","DPT_UCountValue16_Z",,
"203.013","DPT_UElCurrent?A_Z",,
"203.014","DPT_PowerKW_Z",,
"203.015","DPT_AtmPressureAbs_Z",,
"203.017","DPT_PercentU16_Z",,
"203.100","DPT_HVACAirQual_Z",,
"203.101","DPT_WindSpeed_Z",,
"203.102","DPT_SunIntensity_Z",,
"203.104","DPT_HVACAirFlowAbs_Z",,
"204.001","DPT_RelSignedValue_Z",,
"205.002","DPT_DeltaTimeMsec_Z",,
"205.003","DPT_DeltaTime10Msec_Z",,
"205.004","DPT_DeltaTime100Msec_Z",,
"205.005","DPT_DeltaTimeSec_Z",,
"205.006","DPT_DeltaTimeMin_Z",,
"205.007","DPT_DeltaTimeHrs_Z",,
"205.100","DPT_TempHVACAbs_Z",,
"205.101","DPT_TempHVACRel_Z",,
"205.102","DPT_HVACAirFlowRel_Z",,
"206.100","DPT_HVACModeNext",,
"206.102","DPT_DHWModeNext",,
"206.104","DPT_OccModeNext",,
"206.105","DPT_BuildingModeNext",,
"207.100","DPT_StatusBUC",,
"207.101","DPT_LockSign",,
"207.102","DPT_ValueDemBOC",,
"207.104","DPT_ActPosDemAbs",,
"207.105","DPT_StatusAct",,
"209.100","DPT_StatusHPM",,
"209.101","DPT_TempRoomDemAbs",,
"209.102","DPT_StatusCPM",,
"209.103","DPT_StatusWTC",,
"210.100","DPT_TempFlowWaterDemAbs",,
"211.100","DPT_EnergyDemWater",,
"212.100","DPT_TempRoomSetpSetShift[3]",,
"212.101","DPT_TempRoomSetpSet[3]",,
"213.100","DPT_TempRoomSetpSet[4]",,
"213.101","DPT_TempDHWSetpSet[4]",,
"213.102","DPT_TempRoomSetpSetShift[4]",,
"214.100","DPT_PowerFlowWaterDemHPM",,
"214.101","DPT_PowerFlowWaterDemCPM",,
"215.100","DPT_StatusBOC",,
"215.101","DPT_StatusCC",,
"216.100","DPT_SpecHeatProd",,
"217.001","DPT_Version",,
"218.001","DPT_VolumeLiter_Z",,
"219.001","DPT_AlarmInfo",,
"220.100","DPT_TempHVACAbsNext",,
"221.001","DPT_SerNum",,
"222.100","DPT_TempRoomSetpSetF16[3]",,
"222.101","DPT_TempRoomSetpSetShiftF16[3]",,
"223.100","DPT_EnergyDemAir",,
"224.100","DPT_TempSupply",,
"225.001","DPT_ScalingSpeed",,
"225.002","DPT_Scaling_Step_Time",,
"229.001","DPT_MeteringValue",,
"230.1000","DPT_MBus_Address",,
"231.001","DPT_Locale_ASCII",,
"232.600","DPT_Colour_RGB",,
"234.001","DPT_LanguageCodeAlpha2_ASCII",,
"234.002","DPT_RegionCodeAlpha2_ASCII",,
